day,entry_time,entry_type,entry_price,stop,tp1,tp2,tp3,size,smt,exit_time,exit_reason,pnl_points,pnl_dollars
2026-02-12,2026-02-12 09:40:00-05:00,FVG rejection,25308.25,25427.25,,25177.916666666668,,2,False,2026-02-12 16:00:00-05:00,session_end,169.57,678.3
2026-02-13,2026-02-13 09:45:00-05:00,FVG rejection,24775.5,24807.25,,24771.5,,3,False,2026-02-13 09:45:00-05:00,stop,-31.75,-190.5
